cluster,keyword,scope,volume_db,gsc_impressions,gsc_clicks,gsc_avg_pos,tracked_pos,best_pos,aio_on_serp,status,landing_or_target,peak_month,action
0 Head terms,bolets,ca,2900,231,4,27.9,13,13,False,striking (11-20),/,,"Refresh page: title/H1 match, add section, links from hubs"
0 Head terms,bolets Catalunya,ca,390,199,14,19.3,1,1,False,owned (1-3),/,,"Defend: answer-first block, freshness, AIO citation check"
0 Head terms,bolets de Catalunya,ca,320,129,8,22.3,1,1,False,owned (1-3),/,,"Defend: answer-first block, freshness, AIO citation check"
0 Head terms,bolets a Catalunya,ca,50,64,1,44.7,3,3,False,owned (1-3),/,,"Defend: answer-first block, freshness, AIO citation check"
0 Head terms,bolet,ca,,28,0,22.3,,22.3,False,weak (21-50),/ and /bolets,,Rework: dedicated page or template upgrade
0 Head terms,bolets catalans,ca,,11,0,4.2,,4.2,False,page 1 (4-10),/ and /bolets,,"Push to top-3: internal links, snippet, answer-first block"
0 Head terms,els bolets,ca,,3,0,64.3,,64.3,False,buried (>50),/ and /bolets,,New/rebuilt page
A Where-now & map,pluges avui catalunya,es-wide,210,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",10,Create page (or add to tracking if page exists)
A Where-now & map,mapa bolets catalunya,ca,170,84,0,42.5,29,29,False,weak (21-50),/,10,Rework: dedicated page or template upgrade
A Where-now & map,on trobar bolets aquesta setmana,ca,140,83,1,37.2,17,17,False,striking (11-20),/bolets-avui,10,"Refresh page: title/H1 match, add section, links from hubs"
A Where-now & map,boletaires,ca,140,1,0,64,,64,False,buried (>50),"/bolets-avui, / , /map",10,New/rebuilt page
A Where-now & map,on trobar bolets avui,ca,0,144,9,28.9,9,9,True,page 1 (4-10),/,,"Push to top-3: internal links, snippet, answer-first block"
A Where-now & map,on trobar bolets ara,ca,90,16,0,66.1,22,22,False,weak (21-50),/,10,Rework: dedicated page or template upgrade
A Where-now & map,caçar bolets,ca,50,1,0,63,,63,False,buried (>50),"/bolets-avui, / , /map",10,New/rebuilt page
A Where-now & map,on trobar bolets avui a catalunya,ca,0,53,0,55.6,13,13,False,striking (11-20),/,,"Refresh page: title/H1 match, add section, links from hubs"
A Where-now & map,on trobar bolets aquest cap de setmana,ca,0,52,0,66.1,31,31,False,weak (21-50),/,,Rework: dedicated page or template upgrade
A Where-now & map,mapa bolets avui,ca,0,51,1,27.7,6,6,False,page 1 (4-10),/,,"Push to top-3: internal links, snippet, answer-first block"
A Where-now & map,bolets Catalunya mapa,ca,10,50,1,36.6,21,21,False,weak (21-50),/,,Rework: dedicated page or template upgrade
A Where-now & map,on anar a buscar bolets,ca,40,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",10,Create page (or add to tracking if page exists)
A Where-now & map,buscar bolets,ca,40,2,0,36.5,,36.5,False,weak (21-50),"/bolets-avui, / , /map",10,Rework: dedicated page or template upgrade
A Where-now & map,on trobar rovellons,ca,20,40,0,41.2,51,41.2,False,weak (21-50),/,10,Rework: dedicated page or template upgrade
A Where-now & map,mapa bolets catalunya 2026,ca,0,39,7,15.9,7,7,False,page 1 (4-10),/,,"Push to top-3: internal links, snippet, answer-first block"
A Where-now & map,on trobar ceps a catalunya,ca,0,34,2,5.0,,5.0,False,page 1 (4-10),"/bolets-avui, / , /map",,"Push to top-3: internal links, snippet, answer-first block"
A Where-now & map,mapa bolets catalunya 2025,ca,,34,0,59.4,,59.4,False,buried (>50),"/bolets-avui, / , /map",,New/rebuilt page
A Where-now & map,on trobar ceps,ca,20,9,0,8.3,,8.3,False,page 1 (4-10),"/bolets-avui, / , /map",10,"Push to top-3: internal links, snippet, answer-first block"
A Where-now & map,on trobar bolets,ca,20,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",10,Create page (or add to tracking if page exists)
A Where-now & map,on trobar rossinyols,ca,10,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",10,Create page (or add to tracking if page exists)
A Where-now & map,on trobar moixernons,ca,10,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",10,Create page (or add to tracking if page exists)
A Where-now & map,on buscar bolets,ca,10,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",10,Create page (or add to tracking if page exists)
A Where-now & map,on trobar bolets a catalunya,ca,10,0,0,,,,False,not ranking / untracked,"/bolets-avui, / , /map",10,Create page (or add to tracking if page exists)
A Where-now & map,predicció bolets catalunya,ca,0,12,0,33.8,3,3,True,owned (1-3),/,,"Defend: answer-first block, freshness, AIO citation check"
A Where-now & map,on buscar bolets aquest cap de setmana,ca,0,10,0,62.4,32,32,False,weak (21-50),/,,Rework: dedicated page or template upgrade
A Where-now & map,on hi ha bolets avui,ca,0,8,0,17.9,6,6,True,page 1 (4-10),/,,"Push to top-3: internal links, snippet, answer-first block"
A Where-now & map,bolets avui,ca,,7,1,3.6,,3.6,False,page 1 (4-10),"/bolets-avui, / , /map",,"Push to top-3: internal links, snippet, answer-first block"
A Where-now & map,mapa rovellons catalunya,ca,0,6,0,36.5,23,23,False,weak (21-50),/,,Rework: dedicated page or template upgrade
A Where-now & map,mapa predicció bolets catalunya,ca,0,6,0,40,2,2,True,owned (1-3),/,,"Defend: answer-first block, freshness, AIO citation check"
