competitor,source_name,source_scientific_name,comparison_name,our_status,our_species_id,priority,evidence_kind,source_url,local_mentions,notes
boletaires.cat,"Reig, Ou de reig",Amanita caesarea,Amanita caesarea,covered,amanita-caesarea,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:420; data/species-gallery-media.ts:430; data/species-media.ts:218; data/species.ts:45; data/species.ts:603; data/species.ts:943; data/species.ts:1218,
boletaires.cat,"Apagallums, Paloma",Macrolepiota procera,Macrolepiota procera,covered,macrolepiota-procera,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:344; data/species-gallery-media.ts:354; data/species-gallery-media.ts:364; data/species-media.ts:182; data/species.ts:536; data/species.ts:541; data/species.ts:549; data/species.ts:983,
boletaires.cat,Cep,Boletus edulis,Boletus edulis,covered,boletus-edulis,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/editorial.ts:148; data/species-gallery-media.ts:125; data/species-gallery-media.ts:135; data/species-media.ts:62; data/species.ts:29; data/species.ts:37; data/species.ts:401; data/species.ts:404; data/species.ts:413; data/species.ts:422; data/species.ts:434; data/species.ts:450; app/zones/ceps/page.tsx:86,
boletaires.cat,Cep negre,Boletus aereus,Boletus aereus,covered,boletus-aereus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:169; data/species-gallery-media.ts:179; data/species-media.ts:86; data/species.ts:29; data/species.ts:440; app/zones/ceps/page.tsx:86,
boletaires.cat,"Camagroc, Rossinyolic",Cantharellus lutescens,Craterellus lutescens,covered,craterellus-lutescens,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:279; data/species-gallery-media.ts:289; data/species-media.ts:146; data/species.ts:497; data/species.ts:502; data/species.ts:510; data/species.ts:862; data/species.ts:1449,
boletaires.cat,"Pinetell, Rovelló",Lactarius deliciosus,Lactarius deliciosus,covered,lactarius-deliciosus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:213; data/species-gallery-media.ts:223; data/species-media.ts:110; data/species.ts:61; data/species.ts:457; data/species.ts:458; data/species.ts:461; data/species.ts:476; data/species.ts:1412; app/zones/rovellons/page.tsx:107; app/preguntes-frequents-bolets/page.tsx:98,
boletaires.cat,"Rovelló de sang, Pinetell vinós",Lactarius sanguifluus,Lactarius sanguifluus,covered,lactarius-sanguifluus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:235; data/species-gallery-media.ts:245; data/species-media.ts:122; data/species.ts:463; data/species.ts:471; data/species.ts:474; app/zones/rovellons/page.tsx:107; app/preguntes-frequents-bolets/page.tsx:98,
boletaires.cat,Cua de cavall,Amanita rubescens,Amanita rubescens,mentioned-only,,P1,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species.ts:1140,
boletaires.cat,"Farinera borda, Cogomassa",Amanita phalloides,Amanita phalloides,covered,amanita-phalloides,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/culinary-profiles.ts:222; data/culinary-profiles.ts:482; data/species-gallery-media.ts:728; data/species-gallery-media.ts:738; data/species-media.ts:386; data/species.ts:173; data/species.ts:605; data/species.ts:746; data/species.ts:922; data/species.ts:944; data/species.ts:945; data/reference-species.ts:95; data/reference-species.ts:153; data/reference-species.ts:210,
boletaires.cat,"Mataparent de satanàs, Matagent",Rubroboletus satanas,Rubroboletus satanas,covered,rubroboletus-satanas,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:15; data/species-gallery-media.ts:25; data/species.ts:27; data/species.ts:426; data/species.ts:442; data/species.ts:450,
boletaires.cat,"Alzinoi, Pollancró",Cyclocybe aegerita,Cyclocybe cylindracea,covered,cyclocybe-cylindracea,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:1080; data/species-gallery-media.ts:1090; data/species-media.ts:638; data/species.ts:191; data/species.ts:1023,Pollancro name overlap; legacy aegerita/cylindracea usage does not justify an automatic extra page. Reconcile species concepts before splitting.
boletaires.cat,"Xampinyó silvestre, Camperol",Agaricus campestris,Agaricus campestris,covered,agaricus-campestris,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:618; data/species-gallery-media.ts:628; data/species-media.ts:326; data/species.ts:724; data/species.ts:944; data/species.ts:1179; data/species.ts:1217; data/species.ts:1335,
boletaires.cat,"Bola de neu anisada, Bola de neu de bosc",Agaricus arvensis,Agaricus arvensis,missing,,P2,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Tòfona negra, Tòfona de cervi",Tuber melanosporum,Tuber melanosporum,covered,tuber-melanosporum,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:706; data/species-gallery-media.ts:716; data/species-media.ts:374; data/species.ts:882,
boletaires.cat,Cassoleta taronja,Aleuria aurantia,Aleuria aurantia,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,Mataparent amarg,Tylopilus felleus,Tylopilus felleus,covered,tylopilus-felleus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/culinary-profiles.ts:90; data/species-gallery-media.ts:37; data/species-gallery-media.ts:47; data/species.ts:35; data/species.ts:426; data/species.ts:434; data/species.ts:450,
boletaires.cat,"Cama-sec, Carrereta",Marasmius oreades,Marasmius oreades,covered,marasmius-oreades,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:442; data/species-gallery-media.ts:452; data/species-media.ts:230; data/species.ts:611; data/species.ts:1373,
boletaires.cat,"Fredolic, Negret",Tricholoma terreum,Tricholoma terreum,covered,tricholoma-terreum,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:376; data/species-gallery-media.ts:386; data/species-media.ts:194; data/species.ts:559; data/species.ts:564; data/species.ts:572; data/species.ts:1256,
boletaires.cat,"Molleric granellut, Molleric",Suillus granulatus,Suillus granulatus,covered,suillus-granulatus,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:1124; data/species-gallery-media.ts:1134; data/species-media.ts:662; data/species.ts:269; data/species.ts:668,
boletaires.cat,"Molleric clapat, Mataparent clapat",Suillus variegatus,Suillus variegatus,missing,,P3,catalogue-record,https://boletaires.cat/js/species-data.min.js,,
boletaires.cat,"Fredolic gros bord, Fredolic bord",Tricholoma pardinum,Tricholoma pardinum,covered,tricholoma-pardinum,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/culinary-profiles.ts:200; data/species-gallery-media.ts:904; data/species-gallery-media.ts:914; data/species-media.ts:542; data/species.ts:134; data/species.ts:568; data/species.ts:574; data/species.ts:1235,
boletaires.cat,"Bolet de pi, Flota d'olor sofre",Hypholoma fasciculare,Hypholoma fasciculare,mentioned-only,,P1,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species.ts:213,
boletaires.cat,"Rossinyol, Agulleta",Cantharellus cibarius,Cantharellus cibarius,covered,cantharellus-cibarius,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:257; data/species-gallery-media.ts:267; data/species-media.ts:134; data/species.ts:61; data/species.ts:484; data/species.ts:487; data/reference-species.ts:36; app/fals-rossinyol/page.tsx:52,
boletaires.cat,Moixernó,Calocybe gambosa,Calocybe gambosa,covered,calocybe-gambosa,covered,catalogue-record,https://boletaires.cat/js/species-data.min.js,data/species-gallery-media.ts:464; data/species-gallery-media.ts:474; data/species-media.ts:242; data/species.ts:619; data/species.ts:1296; data/species.ts:1334,
